category,title,answer,reply,read,link
伸手區,版規- 伸手區,,4,"4,774",http://www.hongkongcard.com/forum/show/17539
伸手區,STARBUCKS 算唔算食肆?,,9,"1,636",http://www.hongkongcard.com/forum/show/20991
伸手區,農曆新年到日本玩，哪張咭簽帳抵D，又有折？,,0,"1,674",http://www.hongkongcard.com/forum/show/20953
伸手區,請問仲有邊張咭係Apple store買嘢有免息分期？,,0,"1,904",http://www.hongkongcard.com/forum/show/20925
伸手區,apple pay又用得美國運吉～,,3,"3,019",http://www.hongkongcard.com/forum/show/20877
伸手區,關於網上海外簽帳問題,,1,"2,759",http://www.hongkongcard.com/forum/show/20871
伸手區,想問係Poly 讀緊既Ching,,4,"3,241",http://www.hongkongcard.com/forum/show/20804
伸手區,外國AE Platinum Charge在香港用Gourmet Club折扣,,9,"4,433",http://www.hongkongcard.com/forum/show/19769
伸手區,中銀 i-Card 積分使用問題,,1,"3,372",http://www.hongkongcard.com/forum/show/20784
伸手區,申請邊張信用咭多回贈?,,10,"5,235",http://www.hongkongcard.com/forum/show/18778
伸手區,"我想問,申請了崇光Visa Signature卡,是否一定要在崇光 購物,不能在其他 百貨公司及商場購物？",,8,"4,326",http://www.hongkongcard.com/forum/show/20251
伸手區,美金公司卡係咪AE最好用？,,1,405,http://www.hongkongcard.com/forum/show/20696
伸手區,Flyer World Master Card 登記唔到SPG 一夜升金計劃,,3,808,http://www.hongkongcard.com/forum/show/20698
伸手區,請問一下 點樣可以用信用卡來找其他信用卡？謝謝！,,3,"1,022",http://www.hongkongcard.com/forum/show/20684
伸手區,澳門居民申請HK銀行信用卡之可能性?,,9,"1,092",http://www.hongkongcard.com/forum/show/20488
伸手區,酒店酒席簽賬,,12,"1,519",http://www.hongkongcard.com/forum/show/20451
伸手區,TU 個 score 係咪有機會日日有上落?,,8,"1,439",http://www.hongkongcard.com/forum/show/20033
伸手區,日本旅遊簽帳那一張較好？,,23,"8,730",http://www.hongkongcard.com/forum/show/20269
伸手區,有咩卡外幣簽賬高回贈?,,4,813,http://www.hongkongcard.com/forum/show/19666
伸手區,(Bea Flyer World) 無入息證明申請,,7,"2,060",http://www.hongkongcard.com/forum/show/19601
伸手區,How to remove credit card from Google?,,4,576,http://www.hongkongcard.com/forum/show/20355
伸手區,想請教下，我想去美國亞馬遜買東西。通常去什麼網站獲取優惠信息。black Friday 快到了,,2,686,http://www.hongkongcard.com/forum/show/20310
伸手區,citi reward,,1,606,http://www.hongkongcard.com/forum/show/20303
